,Comp,Date,Close,month_ROR,qtr_ROR,year_ROR,Score,Oil,EUR,JPY
51,AVY,2016-08-24,69.65038299560547,0.0543283429494226,0.0447598144233504,0.2400526860710487,0.8736926855630572,49.05,0.89,100.44
52,AVY,2016-09-07,70.89041900634766,-0.000692743429305,0.0385711270208812,0.3225788975945859,0.8911085477747491,47.98,0.89,101.73
53,AVY,2016-09-21,70.72752380371094,-0.0042649256651583,0.017178168504385,0.2811721037924444,0.9032056506131078,46.83,0.89,100.31
54,AVY,2016-10-05,68.82696533203125,0.0054979056633672,0.0671201366166219,0.3306162334583659,0.897149399279442,51.86,0.89,103.5
55,AVY,2016-10-19,69.36997985839844,0.0001385078446587,0.0457731595905701,0.2716730204848577,0.9051497610078756,52.67,0.91,103.44
56,AVY,2016-11-02,62.43750762939453,-0.1067137642836279,-0.1059589472167258,0.1051459187984708,0.8957337872003248,46.86,0.9,103.31
57,AVY,2016-11-16,64.60049438476562,-0.0804570525673357,-0.0962451612921605,0.1121362656710513,0.903045717555844,46.63,0.94,109.08
58,AVY,2016-11-30,65.21592712402344,0.0110165950302428,-0.0713369827348423,0.1032910450302497,0.8449425780412891,50.47,0.94,114.47
59,AVY,2016-12-14,65.33601379394531,0.0290603063913614,-0.0434556202517623,0.1526182739431531,0.9074998209714822,53.9,0.95,117.05
60,AVY,2016-12-28,64.4349136352539,0.0038311376692406,-0.0865025543033033,0.1382919270852321,0.9113643967599738,56.22,0.96,117.25
61,AVY,2017-01-11,66.17343139648438,-0.0099043395962555,-0.0464708047845316,0.1922544061355788,0.9671291711721924,55.1,0.94,115.41
62,AVY,2017-01-25,67.80271911621094,0.0164779016160111,-0.0326025932685891,0.2416117877905854,0.9698737803335128,55.08,0.93,113.28
63,AVY,2017-02-08,72.28105926513672,0.1066320166150416,0.1282181914215064,0.2796711887957701,0.9711141440862632,55.12,0.93,111.94
64,AVY,2017-02-22,72.64514923095703,0.0917279907332854,0.1192844253197329,0.2320528972009446,0.9753996567051828,55.84,0.95,113.3
